Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
armhe006,uti,DescIdentified,0,40655,This helm mounts two special crystal lenses over the wearer's eyes that grant a +5 bonus to Spot checks. ,"이 투구는 착용자의 눈 위에 두 개의 특수 수정 렌즈를 달아 발견 판정에 +5 보너스를 줍니다.

국경 수호에 철저한 달숲의 엘프들은 약탈하는 오크를 감시하고 숲을 지킬 때 활을 정확히 겨누기 위해 이 투구를 자주 씁니다."
armhe008,uti,DescIdentified,0,40659,"This metallurgist's helm bears the distinctive look of gnomish make.  It has been specially constructed to allow an intricate series of lenses to swivel over the wearer's eyes. They enable much improved close-range vision and are very useful for locating or identifying features such as tiny seams, marks, cracks, or imperfections.  ","란탄 특유의 양식이 돋보이는 금속공의 투구입니다. 정교한 렌즈 여러 개가 눈 위로 돌아가도록 특수 제작되어 있어 근거리 시야가 크게 좋아지고, 작은 이음새나 자국, 균열, 결함 등을 찾아내는 데 아주 유용합니다.

란탄의 고고학자들이 실험 장치를 다룰 때 조사용으로도, 보호구로도 쓸 수 있어 귀하게 여깁니다."
armhe009,uti,DescIdentified,0,40661,"This helm mounts two lenses of dark crystal over the wearer's eyes. Even though the lenses are opaque, when placed over the eyes of the wearer they enable normal sight and also grant darkvision.

Common equipment for adventurers who like to explore deep caves and underground ruins, these helms are also hailed as ""the great equalizer"" by humans and are quite popular among human rogues.","눈 위에 짙은 수정 렌즈 두 개가 달린 투구입니다. 렌즈가 불투명하지만 쓰면 정상 시야는 물론 암시까지 얻게 됩니다.

언더다크 모험가들 사이에서 흔한 장비로, 인간들은 ""위대한 평형추""라 부르며 특히 인간 도적들에게 인기가 높습니다."
armhe010,uti,DescIdentified,0,40663,Woven round the brim of this helm is a light cord with a small gem set so that it rests upon the forehead of the wearer.  The magic of the headband has the power to dramatically sharpen the wearer's intellect.,"투구 테두리를 감은 가벼운 끈에 작은 보석이 박혀 이마에 닿게 되어 있습니다. 이 머리띠의 마법이 착용자의 지성을 비약적으로 높여줍니다.

일부 마법사는 '편법'이라 여기지만, 많은 마법사가 열성적으로 찾으며 특히 테이의 붉은 마법사단에게 인기가 높습니다."
armhe012,uti,DescIdentified,0,67761,"The god Callahi expects his followers to have ""honey-tongues"" when dealing with others. For those who do not come by this naturally, there are always magical enhancments. While many consider such enhancements to be mere vanity, many merchants will swear that they have doubled their profits with said assistance.","신 칼라히는 추종자들이 사람을 대할 때 ""꿀처럼 달콤한 혀""를 가지길 기대합니다. 이 투구는 착용자에게 그런 능력을 부여합니다."
ashmlw005,uti,DescIdentified,0,12867,"Forged by clerics of Suhili, the sun goddess, these shields are constantly aglow with the golden fires of the sun. Depending on the skill and intent of the crafter, some Shields of the Sun carry more potent powers as well.","태양의 여신 수힐리의 사제들이 단조한 이 방패들은 항상 빛나고 있으며, 그 빛의 선이 일시적으로 적의 눈을 멀게 할 수 있습니다."
cloth003,uti,DescIdentified,0,47613,"The lesser robe of eyes, like its more powerful counterpart, provides the wearer with improved vision and the ability to detect many things that are hidden. Once per day, the wearer can invoke the power of the robe to pierce the veil of invisibility or etherealness.
","하급 눈의 로브는 더 강력한 상위 물건처럼 착용자에게 향상된 시야와 숨겨진 많은 것들을 감지하는 능력을 제공합니다. 하루에 한 번, 착용자는 로브의 힘을 발동해 투명화나 에테르 상태의 장막을 꿰뚫을 수 있습니다.

완전히 갑옷을 입지 않았을 때, 헬름의 더 강력한 성직자들은 무장을 유지할 수 없을 때도 경계를 유지할 수 있도록 이런 로브를 자주 입습니다."
darkcloak,uti,LocalizedName,0,-1,Dark Cloak,어둠의 망토
dd_eastegg_km001,uti,DescIdentified,0,-1,The leather mask scowls at you. You're not entirely sure when or where you acquired it but it seems to have been in your pack for some time.,가죽 가면이 당신을 노려봅니다. 언제 어디서 얻었는지 확실히 기억나지 않지만 꽤 오래전부터 배낭에 있었던 것 같습니다.
dd_eastegg_km001,uti,LocalizedName,0,-1,The Jester's Mask,광대의 가면
drowkey,uti,LocalizedName,0,-1,Drow Key,드로우 열쇠
duegarkey,uti,LocalizedName,0,-1,Duergar Key,듀에르가 열쇠
ghostlyoutfit,uti,LocalizedName,0,-1,Ghostly Outfit,유령의 의복
goblinkey,uti,LocalizedName,0,-1,Goblin Key,고블린 열쇠
hen_hide_cal,uti,LocalizedName,0,-1,Calibast Hide,칼리바스트의 가죽
it_adahelm001,uti,DescIdentified,0,-1,"This is a very heavy helmet, made from a dense, durable metal. A small inscription on the inside of the helm says, ""Made in Stettler"". You've never heard of such a place, but it is most likely some lost civilization.","매우 무거운 투구로, 밀도 높고 내구성이 강한 금속으로 만들어졌습니다. 투구 안쪽에 ""스테틀러에서 제작""이라는 작은 글귀가 새겨져 있습니다. 그런 곳은 들어본 적 없지만, 아마 사라진 문명의 것일 겁니다."
it_mbelt002,uti,DescIdentified,0,48287,"This simple rope belt, when wrapped around a person's waist, confers increased ability in unarmed combat.  

When the Shining Moon order of monks were attacked by a rival order, it was necessary for some of the apprentices to rise more rapidly than they normally could. These belts allowed the younger monks to defend their order with great speed and skill.","허리에 두르면 맨손 전투 능력이 향상되는 단순한 밧줄 허리띠입니다.

네더 산맥의 '여인의 손' 수도원에서는 최근 모든 수도사에게 이것을 지급하고 있습니다. 소문에 따르면 수도원에는 강력한 네더릴 무기가 있다고 하지만, 최근 모루엠 청룡 일족과 충돌하면서 그보다 못한 장비에 의지할 수밖에 없게 되었습니다."
it_mbelt006,uti,DescIdentified,0,13329,"Near the end of the Age of the Magi, legends tell that the first Emporer of Valratha used hunters who seemed to resist many of the spells used by their victims. By the end of his rule, the Emporer had destroyed the majority of mages across Valratha. Even today, mages of any power are few and far between.","마법사 시대 말기, 전설에 따르면 발라스의 초대 황제가 전쟁에서 입은 부상을 치유하기 위해 이 벨트를 착용했다고 합니다."
it_mbelt012,uti,DescIdentified,0,56605,"An unusual tradition in the mountainous village of Kale sprang up around 5 years ago, where villagers would take blunted arrows and fire them at each other in contests. Two lines would form up, with each person directly across from the other firing on command. Anyone not hit would remain, while all others backed out, until one person was left standing.
Travellers to the village reported the games were, ""Marvellous fun to watch, but you'd have to be a bloody idiot to participate.""
After a few years and several unfortunate deaths, the villagers went back to shooting at stuffed targets.",산악 마을 케일에서 약 5년 전에 시작된 특이한 전통이 있습니다. 최고의 씨름꾼에게 이 벨트를 수여하는 것이죠.
it_mbelt015,uti,DescIdentified,0,56605,"An unusual tradition in the mountainous village of Kale sprang up around 5 years ago, where villagers would take blunted arrows and fire them at each other in contests. Two lines would form up, with each person directly across from the other firing on command. Anyone not hit would remain, while all others backed out, until one person was left standing.
Travellers to the village reported the games were, ""Marvellous fun to watch, but you'd have to be a bloody idiot to participate.""
After a few years and several unfortunate deaths, the villagers went back to shooting at stuffed targets.",산악 마을 케일에서 약 5년 전에 시작된 특이한 전통이 있습니다. 최고의 씨름꾼에게 이 벨트를 수여하는 것이죠.
