Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
door_evlstone001,utd,Description,0,-1,Bloodstains and arcane markings cover the surface of this heavy stone door.,
door_evlstone001,utd,LocName,0,5349,Bloodstained Door,
door_evlstone002,utd,Description,0,-1,Bloodstains and arcane markings cover the surface of this heavy stone door.,
door_evlstone002,utd,LocName,0,5349,Bloodstained Door,
door_fancy001,utd,Description,0,-1,"Etched and oiled, the carvings on this door lend depth to its prominent woodgrain.",
door_fancy001,utd,LocName,0,5349,Carved Door,
door_grate001,utd,Description,0,-1,"Fashioned from rough iron, these bars extend into a narrow slot in the floor.",
door_grate001,utd,LocName,0,5349,Portcullis,
door_grate003,utd,Description,0,-1,"Decorated in ivy patterns, this ornate gate rises from a slot in the floor below.",
door_grate003,utd,LocName,0,5349,Wrought-Iron Gate,
door_grate004,utd,Description,0,-1,"Decorated in ivy patterns, this ornate gate rises from a slot in the floor below.",
door_grate004,utd,LocName,0,5349,Wrought-Iron Gate,
door_jeweled001,utd,Description,0,-1,Detailed carvings cover the surface of this finely-crafted door. The handiwork is of high quality and no doubt came at quite an expense.,
door_jeweled001,utd,LocName,0,5349,Inlaid Door,
door_metal001,utd,Description,0,-1,Various gears control the locking mechanism of this metal-clad door.,
door_metal001,utd,LocName,0,5349,Mechanical Door,
door_normal001,utd,Description,0,-1,"Fashioned from rough-hewn wood, this simple door swings on ill-fitting hinges.",
door_normal001,utd,LocName,0,5349,Wooden Door,
door_rusted001,utd,Description,0,-1,Rust pocks the once-smooth surface of this metal-plated door.,
door_rusted001,utd,LocName,0,5349,Metal Door,
door_stone001,utd,Description,0,-1,"Bound in iron strips, this stone door hangs heavily upon its stout hinges.",
door_stone001,utd,LocName,0,5349,Stone Door,
door_ttr_002,utd,LocName,0,5349,Gate,
door_ttr_01,utd,Description,0,-1,"Sturdy wooden planks, topped by iron bands, dissuade travelers from visiting the cemetery.",
door_ttr_01,utd,LocName,0,5349,Cemetery Gate,
door_ttr_12,utd,Description,0,-1,"An ominous tunnel bores its way into the bluff face, leading to some sort of cavern within.",
door_ttr_12,utd,LocName,0,5349,Cavern Entrance,
door_ttr_25,utd,Description,0,-1,"This crude doorway is cut into the cliff-face, leading to some sort of cavern within.",
door_ttr_25,utd,LocName,0,5349,Cavern Entrance,
